PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
01604442,ELIZABETH SETON HIGH SCHOOL,14,17,5715 EMERSON ST,BLADENSBURG,24033,033,MD,24,20710,3018644532,180,7.5,Yes,,,,,,,,,,,,165,146,135,107,553,553,3,19,60,269,129,0,73,51.1,21,2,1,2,1,2,0.54,3.43,10.84,48.64,23.32,0,13.2,10.82,1,PRINCE GEORGE'S,National Catholic Educational Association (NCEA),,,,,,,
A9701779,ELVATON CHRISTIAN ACADEMY,2,13,8422 ELVATON RD,MILLERSVILLE,24003,003,MD,24,21108,4106473224,170,6.75,Yes,,15,8,3,3,,5,4,4,5,4,,,,,51,36,0,1,1,6,25,0,3,5.8,21,1,1,1,2,2,0,2.77,2.77,16.66,69.44,0,8.33,6.2,5,ANNE ARUNDEL,Other school association(s),,,,,,,
A0901665,EMMANUEL CHRISTIAN SCHOOL,2,16,16221 NATIONAL PIKE,HAGERSTOWN,24043,043,MD,24,21740,3015820368,181,7.16,Yes,,8,10,13,7,8,18,13,11,8,6,2,2,5,,111,103,0,3,1,6,93,0,0,9.1,22,1,1,3,2,2,0,2.91,0.97,5.82,90.29,0,0,11.31,8,WASHINGTON,Other religious school associations,,,,,,,
A9502058,EMMANUEL LUTHERAN SCHOOL,3,13,929 INGLESIDE AVE,BALTIMORE,24005,005,MD,24,21228,4107440015,180,7,Yes,,,16,14,10,18,13,16,16,13,10,,,,,126,126,,,,,,,,11.6,21,1,1,1,2,2,,,,,,,,10.86,8,BALTIMORE,School does not belong to ANY associations or organizations,,,,,,,
A9701781,EMMORTON BAPTIST ACADEMY,3,17,106 PLUMTREE RD,BEL AIR,24025,025,MD,24,21015,4105690585,180,6.5,Yes,,,9,4,3,1,4,5,4,4,2,2,6,5,4,53,53,0,0,2,11,40,0,0,9,22,1,1,3,2,2,0,0,3.77,20.75,75.47,0,0,5.88,5,HARFORD,School does not belong to ANY associations or organizations,,,,,,,
K9302754,EPWORTH PRESCHOOL & KINDERGARTEN,2,3,9008 ROSEMONT DR,GAITHERSBURG,24031,031,MD,24,20877,3019773421,185,4,No,18,123,18,,,,,,,,,,,,,159,36,0,8,0,2,26,0,0,9.4,13,1,7,1,2,1,0,22.22,0,5.55,72.22,0,0,3.82,25,MONTGOMERY,School does not belong to ANY associations or organizations,,,,,,,
A9103193,EVERGREEN MONTESSORI SCHOOL,2,8,10700 GEORGIA AVE,SILVER SPRING,24031,031,MD,24,20902,3019425979,173,6,Yes,,45,15,6,6,6,,,,,,,,,,78,33,0,6,3,9,12,0,3,18,21,1,2,1,3,2,0,18.18,9.09,27.27,36.36,0,9.09,1.83,30,MONTGOMERY,American Montessori Society (AMS),Other school association(s),,,,,,
A0501814,EXCELLENCE CHRISTIAN SCHOOL,2,13,9010 FRANK TIPPETT RD,UPPER MARLBORO,24033,033,MD,24,20772,3018681873,170,7.25,Yes,,19,32,18,18,18,23,23,15,12,16,,,,,194,175,2,1,0,172,0,0,0,18,21,1,1,1,2,2,1.14,0.57,0,98.28,0,0,0,9.72,5,PRINCE GEORGE'S,Association of Christian Schools International (ACSI),,,,,,,
A9701782,EXECUTIVE CHILD DEVELOPMENT CENTER,2,3,6006 EXECUTIVE BLVD STE 100,ROCKVILLE,24031,031,MD,24,20852,3014969411,187,7,Yes,,59,1,,,,,,,,,,,,,60,1,0,0,0,0,0,0,1,1,21,1,6,1,3,2,0,0,0,0,0,0,100,1,30,MONTGOMERY,National Association for the Education of Young Children (NAEYC),,,,,,,
A9902206,FAIRHAVEN SCHOOL,3,17,17900 QUEEN ANNE RD,UPPER MARLBORO,24033,033,MD,24,20774,3012498060,170,8,Yes,,,1,4,3,5,3,1,4,4,8,9,4,9,4,59,59,0,1,2,10,36,0,10,5.6,41,1,1,3,2,4,0,1.69,3.38,16.94,61.01,0,16.94,10.53,8,PRINCE GEORGE'S,School does not belong to ANY associations or organizations,,,,,,,
A9701783,FAITH ARTS ACADEMY,2,11,PO BOX 6475,SILVER SPRING,24031,031,MD,24,20916,3014382012,181,7,Yes,,35,9,5,3,,,5,1,,,,,,,58,23,0,0,0,23,0,0,0,8,21,1,1,1,2,2,0,0,0,100,0,0,0,2.87,8,MONTGOMERY,Association of Christian Schools International (ACSI),,,,,,,
A0901667,FAITH BAPTIST CHILD DEVELOPMENT CENTER,2,3,7378 E FURNACE BRANCH RD,GLEN BURNIE,24003,003,MD,24,21060,4107619112,180,6,No,,136,11,,,,,,,,,,,,,147,11,0,0,0,2,9,0,0,1,21,1,6,1,2,2,0,0,0,18.18,81.81,0,0,11,5,ANNE ARUNDEL,,,,,,,,
AA000487,FAITH BAPTIST SCHOOL,2,17,30505 DAGSBORO RD,SALISBURY,24045,045,MD,24,21804,4107429516,180,7.25,No,,21,11,10,4,9,11,9,7,6,4,9,5,2,8,116,95,0,0,4,12,77,0,2,17.6,13,1,1,3,2,1,0,0,4.21,12.63,81.05,0,2.1,5.39,5,WICOMICO,American Association of Christian Schools (AACS),,,,,,,
01604453,FATHER ANDREW WHITE SJ SCHOOL,2,13,PO BOX 1756,LEONARDTOWN,24037,037,MD,24,20650,3014759795,180,6.58,Yes,,15,25,28,21,21,30,29,29,30,28,,,,,256,241,0,1,2,0,229,0,9,15.6,31,1,1,1,1,3,0,0.41,0.82,0,95.02,0,3.73,15.44,1,ST. MARY'S,National Catholic Educational Association (NCEA),,,,,,,
BB181316,FERNWOOD MONTESSOURI,2,3,10100 OLD GEORGETOWN RD,BETHESDA,24031,031,MD,24,20814,3014694888,180,7,Yes,60,43,9,,,,,,,,,,,,,112,69,,,,,,,,3,21,1,2,1,3,2,,,,,,,,23,30,MONTGOMERY,School does not belong to ANY associations or organizations,,,,,,,
BB140610,FEYNMAN SCHOOL,2,12,6300 TILDEN LN,NORTH BETHESDA,24031,031,MD,24,20852,3017704370,177,7,Yes,,14,16,18,15,12,6,6,4,2,,,,,,93,79,,,,,,,,14,21,1,3,1,3,2,,,,,,,,5.64,30,MONTGOMERY,School does not belong to ANY associations or organizations,,,,,,,
A9103196,FIRST BAPTIST SCHOOL OF LAUREL,2,13,15002 FIRST BAPTIST LN,LAUREL,24033,033,MD,24,20707,3014901076,176,6.5,Yes,,33,29,17,9,7,6,4,11,7,9,,,,,132,99,1,6,3,69,1,0,19,10.9,21,1,1,1,2,2,1.01,6.06,3.03,69.69,1.01,0,19.19,9.08,5,PRINCE GEORGE'S,Southern Baptist Association of Christian Schools (SBACS),,,,,,,
K9302975,FIRST ENGLISH LUTHERAN PRESCHOOL & KINDERGARTEN,2,3,3807 N CHARLES ST,BALTIMORE,24510,510,MD,24,21218,4102355087,155,5.5,Yes,,88,17,,,,,,,,,,,,,105,17,0,0,0,1,12,0,4,14,11,1,7,1,2,1,0,0,0,5.88,70.58,0,23.52,1.21,23,BALTIMORE,School does not belong to ANY associations or organizations,,,,,,,
A1101186,FLINTSTONE MENNONITE SCHOOL,6,14,20020 W FLINTSTONE CREEK RD NE,FLINTSTONE,24001,001,MD,24,21530,3014782424,180,6.5,Yes,,,,2,2,3,2,,4,2,1,4,,,,20,20,0,0,0,0,20,0,0,3,42,1,1,3,2,4,0,0,0,0,100,0,0,6.66,24,ALLEGANY,School does not belong to ANY associations or organizations,,,,,,,
A1101187,FORBUSH SCHOOL AT ANNE ARUNDEL THE,10,16,648 OLD MILL RD,MILLERSVILLE,24003,003,MD,24,21108,4107299181,208,6.41,Yes,,,,,,,,2,1,2,1,,1,2,,9,9,0,0,2,4,3,0,0,2,21,1,4,3,3,2,0,0,22.22,44.44,33.33,0,0,4.5,30,ANNE ARUNDEL,Other school association(s),,,,,,,
A1101188,FORBUSH SCHOOL AT HUNT VALLEY,1,1,11201 PEPPER RD,HUNT VALLEY,24005,005,MD,24,21031,4105279505,214,6,Yes,68,,,,,,,,,,,,,,,68,68,0,3,2,28,32,1,2,11,21,1,4,3,3,2,0,4.41,2.94,41.17,47.05,1.47,2.94,6.18,30,BALTIMORE,National Association of Private Special Education Centers (NAPSEC),Other school association(s),,,,,,
A0901671,FORBUSH SCHOOL AT PRINCE GEORGES COUNTY,1,1,4819 WALDEN LN STE 4880,LANHAM,24033,033,MD,24,20706,2406671423,216,6,Yes,58,,,,,,,,,,,,,,,58,58,1,2,8,41,4,2,0,9,21,1,4,3,3,2,1.72,3.44,13.79,70.68,6.89,3.44,0,6.44,30,PRINCE GEORGE'S,National Association of Private Special Education Centers (NAPSEC),Other association(s) for exceptional children,Other special emphasis association(s),,,,,
02032019,FORCEY CHRISTIAN SCHOOL,2,13,2130 E RANDOLPH RD,SILVER SPRING,24031,031,MD,24,20904,3016222281,180,6,Yes,,76,48,39,38,57,48,50,60,50,52,,,,,518,442,0,56,26,235,69,0,56,38,21,1,1,1,2,2,0,12.66,5.88,53.16,15.61,0,12.66,11.63,8,MONTGOMERY,Association of Christian Schools International (ACSI),Other school association(s),,,,,,
A1101190,FOX LUMBER AMISH PAROCHIAL SCHOOL,6,13,28379 THOMPSON CORNER RD,MECHANICSVILLE,24017,017,MD,24,20659,,180,6.5,Yes,,,,3,3,2,4,3,5,2,5,,,,,27,27,0,0,0,0,27,0,0,1,41,1,1,1,2,4,0,0,0,0,100,0,0,27,3,CHARLES,Association Montessori International (AMI),,,,,,,
00581581,FREDERICK ADVENTIST ACADEMY,2,13,6437 JEFFERSON PIKE,FREDERICK,24021,021,MD,24,21703,3016630363,180,7.25,Yes,,9,15,8,10,12,7,11,6,10,2,,,,,90,81,1,9,20,16,24,0,11,5,13,1,1,1,2,1,1.23,11.11,24.69,19.75,29.62,0,13.58,16.2,28,FREDERICK,General Conference of the Seventh-Day Adventist Church (GCSDAC),,,,,,,
01934153,FREDERICK CHRISTIAN ACADEMY,2,17,6642 CARPENTER RD,FREDERICK,24021,021,MD,24,21703,3014738990,175,6.75,Yes,,17,11,10,8,7,3,2,8,4,4,6,5,3,7,95,78,0,8,12,21,37,0,0,11.3,41,1,1,3,2,4,0,10.25,15.38,26.92,47.43,0,0,6.9,5,FREDERICK,American Association of Christian Schools (AACS),,,,,,,
A9902215,FREDERICK COUNTRY DAY MONTESSORI SCHOOL,2,3,1601 WHEYFIELD DR,FREDERICK,24021,021,MD,24,21701,3016947000,199,6,No,,35,6,,,,,,,,,,,,,41,6,0,0,1,1,4,0,0,2,13,1,2,1,3,1,0,0,16.66,16.66,66.66,0,0,3,30,FREDERICK,School does not belong to ANY associations or organizations,,,,,,,
A9300453,FRIENDS COMMUNITY SCHOOL,3,13,5901 WESTCHESTER PARK DR,COLLEGE PARK,24033,033,MD,24,20740,3014412100,174,6.75,Yes,,,24,29,25,24,26,31,32,30,27,,,,,248,248,,,,,,,,24.4,21,1,1,1,2,2,,,,,,,,10.16,15,PRINCE GEORGE'S,Friends Council on Education (FCE),,,,,,,
A9902217,FRIENDS MEETING SCHOOL,3,17,3232 GREEN VALLEY RD,IJAMSVILLE,24021,021,MD,24,21754,3017980288,176,7.5,Yes,,,6,5,6,3,5,10,7,11,4,8,10,6,5,86,86,0,3,4,6,73,0,0,13.6,41,1,1,3,2,4,0,3.48,4.65,6.97,84.88,0,0,6.32,15,FREDERICK,Friends Council on Education (FCE),Other school association(s),,,,,,
A0701197,FRIENDS SCHOOL OF HARFORD,3,13,2230 ROCK SPRING RD,FOREST HILL,24025,025,MD,24,21050,4436406300,171,7.25,Yes,,,5,4,5,5,3,3,1,4,5,,,,,35,35,0,1,1,0,27,0,6,1.6,22,1,1,1,2,2,0,2.85,2.85,0,77.14,0,17.14,21.87,15,HARFORD,Friends Council on Education (FCE),,,,,,,
A0103964,FRIENDSHIP ADVENTIST SCHOOL,2,13,901 ANDOVER RD,LINTHICUM,24003,003,MD,24,21090,4108593598,180,7,Yes,,12,5,,2,2,6,,1,2,2,,,,,32,20,0,0,5,6,7,0,2,3.1,21,1,1,1,2,2,0,0,25,30,35,0,10,6.45,28,ANNE ARUNDEL,Other school association(s),,,,,,,
A0103965,FRIENDSHIP MENNONITE SCHOOL,6,13,25979 FRIENDSHIP SCHOOL RD,MECHANICSVILLE,24037,037,MD,24,20659,,180,6.5,Yes,,,,3,3,6,3,2,6,3,3,,,,,29,29,0,0,0,0,29,0,0,2,41,1,1,1,2,4,0,0,0,0,100,0,0,14.5,24,ST. MARY'S,School does not belong to ANY associations or organizations,,,,,,,
A9303444,FRIENDSHIP MONTESSORI SCHOOL,2,3,PO BOX 6,WORTON,24029,029,MD,24,21678,4107785663,174,7,Yes,,24,7,,,,,,,,,,,,,31,7,0,1,0,0,6,0,0,2.4,42,1,2,1,3,4,0,14.28,0,0,85.71,0,0,2.91,30,KENT,American Montessori Society (AMS),Other Montessori association(s),National Association for the Education of Young Children (NAEYC),,,,,
A9103200,FROM THE HEART CHRISTIAN SCHOOL,2,17,4949 ALLENTOWN RD,SUITLAND,24033,033,MD,24,20746,3018992968,174,7.5,No,,23,7,12,15,11,18,26,18,20,15,18,19,22,14,238,215,0,0,0,211,4,0,0,26.3,21,1,1,3,2,2,0,0,0,98.13,1.86,0,0,8.17,8,PRINCE GEORGE'S,School does not belong to ANY associations or organizations,,,,,,,
K9302765,GAITHERSBURG PRESBYTERIAN PRESCHOOL & KINDERGARTEN,2,3,610 S FREDERICK AVE,GAITHERSBURG,24031,031,MD,24,20877,3019775787,170,4,No,,120,16,,,,,,,,,,,,,136,16,0,1,0,0,15,0,0,1,13,1,6,1,2,1,0,6.25,0,0,93.75,0,0,16,27,MONTGOMERY,State or regional independent school association,,,,,,,
02031048,GATEWAY SCHOOL,2,11,5900 METRO DR,BALTIMORE,24510,510,MD,24,21215,4103186780,200,6,Yes,,25,2,4,6,3,5,4,2,,,,,,,51,26,0,0,4,12,10,0,0,5.8,11,1,4,1,3,1,0,0,15.38,46.15,38.46,0,0,4.48,30,BALTIMORE,National Association for the Education of Young Children (NAEYC),Other special emphasis association(s),Other school association(s),,,,,
A0501821,GENESIS CHRISTIAN DAY SCHOOL,2,3,3409 BRIGHTSEAT RD,GLENARDEN,24033,033,MD,24,20706,3017723908,180,7.5,Yes,,14,5,,,,,,,,,,,,,19,5,0,2,1,2,0,0,0,1,21,1,7,1,2,2,0,40,20,40,0,0,0,5,5,PRINCE GEORGE'S,,,,,,,,
K9302736,GENEVA DAY SCHOOL,2,3,11931 SEVEN LOCKS RD,POTOMAC,24031,031,MD,24,20854,3013407704,170,6,Yes,,175,25,,,,,,,,,,,,,200,25,0,5,2,0,18,0,0,2,21,1,6,1,3,2,0,20,8,0,72,0,0,12.5,30,MONTGOMERY,School does not belong to ANY associations or organizations,,,,,,,
AA890427,GEORGE E PETERS ADVENTIST SCHOOL,2,13,6303 RIGGS RD,HYATTSVILLE,24033,033,MD,24,20783,3015596710,182,7,Yes,,10,17,23,25,20,14,17,17,18,9,,,,,170,160,0,1,0,159,0,0,0,12.9,21,1,1,1,2,2,0,0.62,0,99.37,0,0,0,12.4,28,PRINCE GEORGE'S,General Conference of the Seventh-Day Adventist Church (GCSDAC),National Independent Private School Association (NIPSA),,,,,,
A0701188,GEORGETOWN HILL EARLY CHILDHOOD SCHOOL AT NRC,2,4,11545 ROCKVILLE PIKE P1,ROCKVILLE,24031,031,MD,24,20852,3014150777,191,6,Yes,,20,40,,,,,,,,,,,,,60,40,6,6,6,0,16,6,0,7,21,1,7,1,3,2,15,15,15,0,40,15,0,5.71,30,MONTGOMERY,National Association for the Education of Young Children (NAEYC),,,,,,,
BB140609,GEORGETOWN HILL EARLY SCHOOL,2,4,8311 BELLS MILL RD,POTOMAC,24031,031,MD,24,20854,3012992350,184,6,Yes,,112,20,,,,,,,,,,,,,132,20,0,15,3,2,0,0,0,2,21,1,7,1,3,2,0,75,15,10,0,0,0,10,30,MONTGOMERY,Other special emphasis association(s),,,,,,,
01604464,GEORGETOWN PREPARATORY SCHOOL,14,17,10900 ROCKVILLE PIKE,NORTH BETHESDA,24031,031,MD,24,20852,3014935000,173,6.5,Yes,,,,,,,,,,,,129,129,115,123,496,496,2,73,35,51,317,0,18,53.9,21,3,1,2,1,2,0.4,14.71,7.05,10.28,63.91,0,3.62,9.2,1,MONTGOMERY,Jesuit Secondary Education Association (JSEA),National Catholic Educational Association (NCEA),National Association of Independent Schools (NAIS),State or regional independent school association,The Association of Boarding Schools (TABS),,,
00579368,GERMAN INTERNATIONAL SCHOOL WASHINGTON DC,2,17,8617 CHATEAU DR,POTOMAC,24031,031,MD,24,20854,3017673800,180,7.5,Yes,,61,32,38,39,38,33,37,39,32,35,27,26,30,34,501,440,0,21,12,15,392,0,0,35.9,21,1,3,3,3,2,0,4.77,2.72,3.4,89.09,0,0,12.25,30,MONTGOMERY,State or regional independent school association,,,,,,,
A0501822,GERSTELL ACADEMY,2,17,2500 OLD WESTMINSTER PIKE,FINKSBURG,24013,013,MD,24,21048,4108614400,181,8,Yes,,11,16,23,22,19,22,33,42,32,32,32,41,24,23,372,361,0,1,17,25,308,0,10,56.9,23,1,1,3,3,2,0,0.27,4.7,6.92,85.31,0,2.77,6.34,30,CARROLL,National Association of Independent Schools (NAIS),,,,,,,
00580103,GILMAN SCHOOL,3,17,5407 ROLAND AVE,BALTIMORE,24510,510,MD,24,21210,4103233800,176,8,Yes,,,59,39,42,41,53,52,79,76,86,124,127,116,117,1011,1011,1,132,13,124,689,0,52,144.8,11,3,1,3,3,1,0.09,13.05,1.28,12.26,68.15,0,5.14,6.98,30,BALTIMORE,National Association of Independent Schools (NAIS),,,,,,,
A1301554,GLA ACADEMY SCHOOL OF EXCELLENCE,2,10,6247 KENWOOD AVE,ROSEDALE,24005,005,MD,24,21237,4108662970,200,6,Yes,,200,18,12,12,5,4,3,,,,,,,,254,54,0,0,1,53,0,0,0,4,21,1,1,1,2,2,0,0,1.85,98.14,0,0,0,13.5,8,BALTIMORE,School does not belong to ANY associations or organizations,,,,,,,
00580216,GLENELG COUNTRY SCHOOL,2,17,12793 FOLLY QUARTER RD,ELLICOTT CITY,24027,027,MD,24,21042,4105317347,175,7.25,Yes,,85,23,25,26,34,40,42,46,66,62,84,71,82,65,751,666,0,107,13,106,353,0,87,119.8,41,1,1,3,3,4,0,16.06,1.95,15.91,53,0,13.06,5.55,30,HOWARD,National Association of Independent Schools (NAIS),,,,,,,
A1501837,GLENWOOD ACADEMY,8,15,16151 OLD FREDERICK RD,MOUNT AIRY,24027,027,MD,24,21771,4104896959,170,7,Yes,,,,,,2,2,5,4,2,5,4,2,,,26,26,0,0,0,0,26,0,0,8.6,41,1,1,3,3,4,0,0,0,0,100,0,0,3.02,30,HOWARD,School does not belong to ANY associations or organizations,,,,,,,
A0104002,GLENWOOD COUNTRY DAY SCHOOL,2,3,14785 BUSHY PARK RD,WOODBINE,24027,027,MD,24,21797,4104895203,170,7,Yes,,27,6,,,,,,,,,,,,,33,6,0,0,0,0,6,0,0,7,41,1,7,1,3,4,0,0,0,0,100,0,0,0.85,30,HOWARD,National Association for the Education of Young Children (NAEYC),,,,,,,
A0901684,GLOBAL CHILDREN MONTESSORI SCHOOL,2,3,4512 HIDDEN HOLLOW DR,ELLICOTT CITY,24027,027,MD,24,21043,4102415771,182,6.5,Yes,,32,6,,,,,,,,,,,,,38,6,0,2,0,0,4,0,0,3.8,21,1,2,1,3,2,0,33.33,0,0,66.66,0,0,1.57,30,HOWARD,,,,,,,,
A0901685,GODDARD SCHOOL IN GAITHERSBURG,2,4,900 WIND RIVER LN STE 100,GAITHERSBURG,24031,031,MD,24,20878,3012088787,191,6,Yes,,250,26,,,,,,,,,,,,,276,26,0,6,0,7,13,0,0,2.1,13,1,7,1,3,1,0,23.07,0,26.92,50,0,0,12.38,30,MONTGOMERY,Other school association(s),,,,,,,
A1501839,GODS LITTLE CHERUBS ELEMENTARY SCHOOL,6,7,5300 GWYNN OAK AVE,BALTIMORE,24510,510,MD,24,21207,4433160079,180,7,Yes,,,,2,2,,,,,,,,,,,4,4,0,0,0,4,0,0,0,2.9,11,1,1,1,2,1,0,0,0,100,0,0,0,1.37,8,BALTIMORE,School does not belong to ANY associations or organizations,,,,,,,
01604249,GOOD SHEPHERD CATHOLIC SCHOOL,2,13,800 AIKEN AVE,PERRYVILLE,24015,015,MD,24,21903,4106426265,180,6.75,Yes,,13,7,13,13,9,15,12,3,10,9,,,,,104,91,0,2,2,1,83,1,2,10.1,22,1,1,1,1,2,0,2.19,2.19,1.09,91.2,1.09,2.19,9,1,CECIL,National Catholic Educational Association (NCEA),,,,,,,
K9302941,GOOD SHEPHERD SCHOOL,2,3,1401 CARROLLTON AVE,BALTIMORE,24005,005,MD,24,21204,4108257139,168,6,Yes,,134,8,,,,,,,,,,,,,142,8,0,0,0,0,8,0,0,7.6,13,1,6,1,2,1,0,0,0,0,100,0,0,1.05,14,BALTIMORE,Other religious school associations,,,,,,,
K9302966,GOVANS PRESBYTERIAN PRESCHOOL,2,3,5826 YORK RD,BALTIMORE,24510,510,MD,24,21212,4104358189,175,5.75,Yes,,105,3,,,,,,,,,,,,,108,3,0,0,0,2,1,0,0,1.4,11,1,6,1,3,1,0,0,0,66.66,33.33,0,0,2.14,30,BALTIMORE,Other school association(s),,,,,,,
00580307,GRACE ACADEMY,2,17,13321 CEARFOSS PIKE,HAGERSTOWN,24043,043,MD,24,21740,3017332033,170,6.91,Yes,,17,29,25,24,18,22,17,29,15,28,26,35,30,28,343,326,0,42,26,32,209,0,17,30.8,22,1,1,3,2,2,0,12.88,7.97,9.81,64.11,0,5.21,10.58,8,WASHINGTON,Association of Christian Schools International (ACSI),,,,,,,
K9302894,GRACE BIBLE CHRISTIAN PRESCHOOL & KINDERGARTEN,2,3,3250 CHARMIL DR,MANCHESTER,24013,013,MD,24,21102,4103749286,170,2.5,No,,32,14,,,,,,,,,,,,,46,14,0,0,0,0,14,0,0,1,31,1,7,1,2,3,0,0,0,0,100,0,0,14,8,CARROLL,School does not belong to ANY associations or organizations,,,,,,,
00579528,GRACE BRETHREN CHRISTIAN SCHOOL,2,17,6501 SURRATTS RD,CLINTON,24033,033,MD,24,20735,3018681600,174,6.75,Yes,,24,26,30,33,36,33,62,42,42,44,26,32,26,35,491,467,0,4,24,405,24,0,10,48.9,21,1,1,3,2,2,0,0.85,5.13,86.72,5.13,0,2.14,9.55,6,PRINCE GEORGE'S,Association of Christian Schools International (ACSI),Other special emphasis association(s),Other school association(s),,,,,
A9103208,GRACE CHRISTIAN ACADEMY OF MARYLAND,2,17,13000 ZEKIAH DR,WALDORF,24017,017,MD,24,20601,3016450406,174,7.25,Yes,,44,22,18,28,14,19,16,23,10,26,18,24,12,32,306,262,2,8,7,160,59,0,26,24.9,41,1,1,3,2,4,0.76,3.05,2.67,61.06,22.51,0,9.92,10.52,8,CHARLES,Association of Christian Schools International (ACSI),Other special emphasis association(s),Other school association(s),,,,,
02032799,GRACE CHRISTIAN SCHOOL,3,13,7210 RACE TRACK RD,BOWIE,24033,033,MD,24,20715,3012620158,176,7.25,Yes,,,32,26,26,25,32,21,30,33,36,,,,,261,261,0,5,8,184,64,0,0,24.3,21,1,1,1,2,2,0,1.91,3.06,70.49,24.52,0,0,10.74,5,PRINCE GEORGE'S,American Association of Christian Schools (AACS),Association of Christian Schools International (ACSI),,,,,,
A1501844,GRACE EPISCOPAL DAY SCHOOL,2,10,9411 CONNECTICUT AVE,KENSINGTON,24031,031,MD,24,20895,3019495860,170,6.5,Yes,,21,12,13,15,9,12,12,,,,,,,,94,73,0,4,8,26,24,0,11,11.1,21,1,1,1,2,2,0,5.47,10.95,35.61,32.87,0,15.06,6.57,14,MONTGOMERY,National Association of Episcopal Schools (NAES),National Association of Independent Schools (NAIS),State or regional independent school association,Other school association(s),,,,
A9103210,GRACE LUTHERAN SCHOOL,2,13,1200 CHARLES ST,LA PLATA,24017,017,MD,24,20646,3019320963,180,7,Yes,,105,23,16,15,13,16,17,13,17,14,,,,,249,144,3,4,12,17,108,0,0,15.8,22,1,1,1,2,2,2.08,2.77,8.33,11.8,75,0,0,9.11,2,CHARLES,School does not belong to ANY associations or organizations,,,,,,,
K9302960,GRACE UNITED METHODIST PRESCHOOL,2,3,5407 N CHARLES ST,BALTIMORE,24510,510,MD,24,21210,4105322235,168,5,No,,75,11,,,,,,,,,,,,,86,11,0,0,0,0,11,0,0,1,11,1,7,1,2,1,0,0,0,0,100,0,0,11,25,BALTIMORE,National Association for the Education of Young Children (NAEYC),State or regional independent school association,,,,,,
01933954,GRANITE BAPTIST SCHOOL,2,17,7823 OAKWOOD RD,GLEN BURNIE,24003,003,MD,24,21061,4107611118,174,6.75,Yes,,34,25,16,22,23,25,16,22,15,19,12,17,14,13,273,239,0,3,17,33,166,20,0,18.3,21,1,1,3,2,2,0,1.25,7.11,13.8,69.45,8.36,0,13.06,5,ANNE ARUNDEL,American Association of Christian Schools (AACS),,,,,,,
A1501845,GREAT COMMISSION CHRISTIAN ACADEMY,2,8,3 N EARLTON RD EXT,HAVRE DE GRACE,24025,025,MD,24,21078,4109392231,175,6.5,Yes,,1,1,,,1,,,,,,,,,,3,2,0,0,0,0,2,0,0,2,41,1,1,1,2,4,0,0,0,0,100,0,0,1,12,HARFORD,School does not belong to ANY associations or organizations,,,,,,,
A9103211,GREATER GRACE CHRISTIAN ACADEMY,3,17,6077 MORAVIA PARK DR,BALTIMORE,24510,510,MD,24,21206,4104850700,175,6.75,No,,,17,11,12,9,20,17,17,18,16,20,20,13,15,205,205,0,14,4,53,132,0,2,22.1,11,1,1,3,2,1,0,6.82,1.95,25.85,64.39,0,0.97,9.27,8,BALTIMORE,Other religious school associations,,,,,,,
A0701194,GREATER YOUTH CHRISTIAN ACADEMY,2,13,200 N BENTALOU ST,BALTIMORE,24510,510,MD,24,21223,4109457300,180,6.5,Yes,,42,12,3,3,3,3,3,5,2,3,,,,,79,37,0,0,0,37,0,0,0,5,11,1,1,1,2,1,0,0,0,100,0,0,0,7.4,8,BALTIMORE,Accelerated Christian Education (ACE),,,,,,,
00579914,GREEN ACRES SCHOOL,2,13,11701 DANVILLE DR,ROCKVILLE,24031,031,MD,24,20852,3018314100,174,8.08,Yes,,19,22,21,35,20,23,30,33,18,26,,,,,247,228,0,8,11,34,149,0,26,39.3,21,1,1,1,3,2,0,3.5,4.82,14.91,65.35,0,11.4,5.8,30,MONTGOMERY,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,
