pss_locale,county_code,school_id,school_name,lo_grade,hi_grade,street,city,pss_county_fips,state,pss_fips,zip,pss_phone,pss_sch_days,pss_stu_day_hrs,pss_library,pss_enroll_ug,pss_enroll_pk,pss_enroll_k,pss_enroll_1,pss_enroll_2,pss_enroll_3,pss_enroll_4,pss_enroll_5,pss_enroll_6,pss_enroll_7,pss_enroll_8,pss_enroll_9,pss_enroll_10,pss_enroll_11,pss_enroll_12,enrollment,pss_enroll_tk12,pss_race_ai,pss_race_as,pss_race_h,pss_race_b,pss_race_w,pss_race_p,pss_race_2,teachers_fte,pss_coed,pss_type,pss_level,pss_relig,pss_comm_type,pss_indian_pct,pss_asian_pct,pss_hisp_pct,pss_black_pct,pss_white_pct,pss_pacisl_pct,pss_twomore_pct,pss_stdtch_rt,pss_orient,pss_county_name,pss_assoc_1,pss_assoc_2,pss_assoc_3,pss_assoc_4,pss_assoc_5,pss_assoc_6,pss_assoc_7,pss_assoc_8,grade_band,county_name,school_type,school_type_detail,pvt_pct_nonwhite,locale_label,locale_type,definition,school_status
21,24031,A1701964,Pathways School--Edgewood,14,17,1106 UNIVERSITY BLVD W,SILVER SPRING,031,MD,24,20902,3016490778,180,6.91,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,5,4,23,23,0,0,2,17,2,0,2,4,1,4,2,3,2,0,0,8.69,73.91,8.69,0,8.69,5.75,30,MONTGOMERY,School does not belong to ANY associations or organizations,NA,NA,NA,NA,NA,NA,NA,HS,Montgomery County,private,private,91.28999999999999,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24031,02032165,Washington Waldorf School,2,17,4800 SANGAMORE RD,BETHESDA,031,MD,24,20854,3012296107,175,6,Yes,NA,40,20,20,15,20,20,21,22,19,21,15,21,20,21,295,255,0,9,11,14,165,0,56,50.3,1,3,3,3,2,0,3.52,4.31,5.49,64.7,0,21.96,5.06,30,MONTGOMERY,Association of Waldorf Schools of North America (AWSNA),National Association of Independent Schools (NAIS),State or regional independent school association,NA,NA,NA,NA,NA,All Grades,Montgomery County,private,private,31.76,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24033,A1592089,Capitol Christian Academy,12,17,610 LARGO RD,UPPER MARLBORO,033,MD,24,20774,2402232467,180,7,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,15,16,11,16,66,66,0,0,0,64,2,0,0,10.5,1,1,2,2,2,0,0,0,96.96,3.03,0,0,6.28,8,PRINCE GEORGE'S,Association of Christian Schools International (ACSI),NA,NA,NA,NA,NA,NA,NA,MS/HS,Prince George's County,private,private,96.96,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24031,BB181322,St Jude Regional Catholic School,2,13,4820 WALBRIDGE ST,ROCKVILLE,031,MD,24,20853,3019467888,180,8.33,Yes,NA,35,26,25,22,28,26,19,24,27,24,NA,NA,NA,NA,256,221,0,20,58,29,69,3,42,18.5,1,1,1,1,2,0,9.04,26.24,13.12,31.22,1.35,19,11.94,1,MONTGOMERY,School does not belong to ANY associations or organizations,NA,NA,NA,NA,NA,NA,NA,ES/MS,Montgomery County,private,private,59.71,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24033,00580781,Rock Creek Christian Academy,2,17,6707 WOODYARD RD,UPPER MARLBORO,033,MD,24,20772,3015999600,192,7,Yes,NA,21,26,15,17,8,8,16,3,10,14,10,4,17,14,183,162,0,0,0,155,3,0,4,24.5,1,1,3,2,2,0,0,0,95.67,1.85,0,2.46,6.61,5,PRINCE GEORGE'S,American Association of Christian Schools (AACS),NA,NA,NA,NA,NA,NA,NA,All Grades,Prince George's County,private,private,98.13,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24033,01604748,St Columba Catholic School,2,13,7800 LIVINGSTON RD,OXON HILL,033,MD,24,20745,3015676212,180,6.83,Yes,NA,10,13,11,19,11,17,22,15,27,25,NA,NA,NA,NA,170,160,0,48,8,74,8,7,15,14.1,1,1,1,1,2,0,30,5,46.25,5,4.37,9.37,11.34,1,PRINCE GEORGE'S,School does not belong to ANY associations or organizations,NA,NA,NA,NA,NA,NA,NA,ES/MS,Prince George's County,private,private,64.99,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24031,00579914,Green Acres School,2,13,11701 DANVILLE DR,ROCKVILLE,031,MD,24,20852,3018314100,174,8.08,Yes,NA,19,22,21,35,20,23,30,33,18,26,NA,NA,NA,NA,247,228,0,8,11,34,149,0,26,39.3,1,1,1,3,2,0,3.5,4.82,14.91,65.35,0,11.4,5.8,30,MONTGOMERY,National Association of Independent Schools (NAIS),State or regional independent school association,NA,NA,NA,NA,NA,NA,ES/MS,Montgomery County,private,private,31.130000000000003,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24033,A9103319,Washington New Church School,2,15,11914 CHANTILLY LN,MITCHELLVILLE,033,MD,24,20721,3014645602,177,6.5,Yes,NA,4,2,3,6,2,4,1,4,5,2,1,2,NA,NA,36,32,0,0,4,20,8,0,0,8.5,1,1,3,2,2,0,0,12.5,62.5,25,0,0,3.76,29,PRINCE GEORGE'S,Other religious school associations,NA,NA,NA,NA,NA,NA,NA,All Grades,Prince George's County,private,private,75,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24005,00580952,Arlington Baptist School,2,17,3030 N ROLLING RD,BALTIMORE,005,MD,24,21244,4106559300,175,7,Yes,NA,13,16,19,13,10,12,14,16,20,11,9,13,14,14,194,181,0,0,2,167,7,0,5,16.9,1,1,3,2,2,0,0,1.1,92.26,3.86,0,2.76,10.71,5,BALTIMORE,Association of Christian Schools International (ACSI),State or regional independent school association,NA,NA,NA,NA,NA,NA,All Grades,Baltimore County,private,private,96.12,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
21,24031,A0901795,Yang Academy,8,16,111 CENTRAL AVE,GAITHERSBURG,031,MD,24,20877,3012080811,175,7,Yes,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,0,2,0,0,0,0,0,2.8,1,1,3,3,2,0,100,0,0,0,0,0,0.71,30,MONTGOMERY,School does not belong to ANY associations or organizations,NA,NA,NA,NA,NA,NA,NA,All Grades,Montgomery County,private,private,0,Suburb large,Suburb: Large,"Territory outside a principal city and inside an urbanized area with population of 250,000 or more.",Open
