"","school_id","name","school_type","school_type_detail","grade_band","county","locale_code","pvt_pct_nonwhite","enrollment","teacher_fte"
"94","00580249","HOLTON-ARMS SCHOOL","private","private","All Grades","MONTGOMERY","13",24.69,"664","104.3"
"95","00580282","NORWOOD SCHOOL","private","private","ES/MS","MONTGOMERY","21",24.99,"456","67.6"
"96","00580307","GRACE ACADEMY","private","private","All Grades","WASHINGTON","22",22.99,"343","30.8"
"97","00580318","HARBOR SCHOOL","private","private","ES","MONTGOMERY","21",24.99,"71","7.9"
"98","00580329","HARFORD CHRISTIAN SCHOOL","private","private","All Grades","HARFORD","42",9.31,"279","35.1"
"99","00580373","KENNEDY KRIEGER SCHOOL: FAIRMOUNT CAMPUS","private","private","ES/MS","BALTIMORE","11",55.21,"172","28"
"100","00580384","JEMICY SCHOOL","private","private","All Grades","BALTIMORE","41",9.46,"380","86"
"101","00580431","MC LEAN SCHOOL OF MARYLAND","private","private","All Grades","MONTGOMERY","21",33.83,"393","70.4"
"102","00580511","PERRY HALL CHRISTIAN SCHOOL","private","private","All Grades","BALTIMORE","21",25.47,"345","34"
"103","00580602","CONCORD HILL SCHOOL","private","private","ES","MONTGOMERY","13",18.56,"98","13.5"
"104","00580613","THE COUNTRY SCHOOL","private","private","ES/MS","TALBOT","32",12.79,"289","32"
"105","00580668","THE FROST SCHOOL","private","private","All Grades","MONTGOMERY","21",47.05,"102","19"
"106","00580704","THE FORBUSH SCHOOL AT GLYNDON","private","private","All Grades","BALTIMORE","21",51.6,"62","23"
"107","00580781","ROCK CREEK CHRISTIAN ACADEMY","private","private","All Grades","PRINCE GEORGE'S","21",98.13,"183","24.5"
"108","00580817","CEDAR RIDGE SCHOOL","private","private","All Grades","WASHINGTON","41",61.27,"31","6"
"109","00580828","CARROLL CHRISTIAN SCHOOLS","private","private","All Grades","CARROLL","23",15.65,"307","30"
"110","00580883","BROADFORDING CHRISTIAN ACADEMY","private","private","All Grades","WASHINGTON","41",NA,"285","27.3"
"111","00580952","ARLINGTON BAPTIST SCHOOL","private","private","All Grades","BALTIMORE","21",96.12,"194","16.9"
"112","00580985","HUYETTS MENNONITE SCHOOL","private","private","All Grades","WASHINGTON","41",0,"101","8"
"113","00580996","TRI-STATE CHRISTIAN ACADEMY","private","private","All Grades","CECIL","21",13.75,"346","25"
"114","00581209","TAKOMA ACADEMY","private","private","HS","MONTGOMERY","13",93.85,"212","15.9"
"115","00581231","BALTIMORE JUNIOR ACADEMY","private","private","ES/MS","BALTIMORE","11",100,"84","6"
"116","00581264","BELTSVILLE SDA SCHOOL","private","private","ES/MS","PRINCE GEORGE'S","21",42.19,"218","11.9"
"117","00581366","HERITAGE ACADEMY","private","private","All Grades","WASHINGTON","22",11.47,"155","16.6"
"118","00581424","MT AETNA ADVENTIST SCHOOL (MAAS)","private","private","ES/MS","WASHINGTON","41",39.34,"101","8.6"
"119","00581435","THE SALISBURY SCHOOL","private","private","All Grades","WICOMICO","41",2.48,"349","51.5"
"120","00581468","TAKOMA ACADEMY PREPARATORY SCHOOL","private","private","ES/MS","MONTGOMERY","13",91.79,"293","33.8"
"121","00581504","SPENCERVILLE ADVENTIST ACADEMY","private","private","All Grades","MONTGOMERY","41",58.27,"399","31"
"122","00581526","THE MARYLAND SCHOOL FOR THE BLIND","private","private","All Grades","BALTIMORE","11",27.14,"230","40"
"123","00581581","FREDERICK ADVENTIST ACADEMY","private","private","ES/MS","FREDERICK","13",59.25,"90","5"
